id;filename;print_time
44;tapa_orbital_020.gcode;11
43;Spool-holder.gcode;260
37;Soporte_cable_bujia_Subar_v2-p1_PLA020.gcode;18
38;Soporte_cable_bujia_Subar_v2-p1_x3_ABS015.gcode;NA
39;Soporte_iPhone6-7-8_v1_PLA020_HI20.gcode;202
40;Soporte_iPhoneSE_PLA010_RI30.gcode;360
41;Soporte_iPhoneSE_PLA020_HI20.gcode;201
42;Soporte_iPhoneSE_v3_PLA010_HI10.gcode;375
19;Mango_Mandril_Prueba_ABS020-LI20_v1.gcode;33
20;Mango_Mandril_Prueba_ABS020-LI20_v2.gcode;33
21;Mango_Mandril_v1_part1_ABS020-LI10.gcode;129
22;Mango_Mandril_v1_part2_ABS020-LI20.gcode;40
23;MangoPlastico_PLA020-LI50.gcode;33
30;Pod_Golf_mk4_ABS035-SHI30P4.gcode;194
31;Pod_Golf_mk4_PLA005_SRI20P3.gcode;NA
33;Pod_Golf_mk4_v3_PLA005_SRI20P3.gcode;1611
32;Pod_Golf_mk4_v3p2_PLA005_SRI20P3.gcode;142
28;Pod52mmVoyage_HQ_ABS035-SHI30P3.gcode;267
29;Pod52mmVoyage_HQ_ABS035-SHI30P4.gcode;NA
2;00_Pod52mmVoyage_v1.1dis_pieza1_HQ_ABS020-SHI30P4.gcode;220
3;00_Pod52mmVoyage_v1.1dis_pieza1recto_ABS020-SRI20P4.gcode;NA
4;00_Pod52mmVoyage_v1.1dis_pieza2_HQ_ABS020-SHI30P4.gcode;75
5;00_Pod52mmVoyage_v1.1dis_pieza2recto_ABS020-SRI20P4.gcode;73
6;00_Pod52mmVoyage_v3dis_pieza1_PLA015.gcode;331
13;AcopleLavadero_2_PLA035-SHI30.gcode;NA
14;AcopleLavadero_PLA020.gcode;111
9;01_Pod_Subaru_PLA015.gcode;395
11;01_Pod_Subaru_trabas_PLA015.gcode;9
34;Prueba_Subaru_2peines.gcode;16
35;Prueba_Subaru_peine.gcode;17
36;Sellos_Ale_PLA015.gcode;557
7;01_Pod52mmVoyage_v2_HQ_ABS020-SHI30P4.gcode;317
12;4_Knobs_PLA015-CI20.gcode;135
16;BordeConector_PLA010_TI20.gcode;8
17;LlavePOrton_ABS020-SHI30P4.gcode;39
18;LlavePOrton-v2_ABS020-SHI30P4.gcode;88
24;orbital_020.gcode;42
25;Perno.gcode;11
8;01_Pod52mmVoyage_v3dis_pieza2_PLA015_S.gcode;202
27;Plantilla_profundidad.gcode;5
15;AdaptadorMasBoton_PLA015.gcode;NA
45,Tapon_ABS015.gcode,11
46,TaponV2_ABS015.gcode,15
